Gene	Num_Studies	Studies	Response	SB_count	SB_Response_Summary	SB_Ind_Responses	SB_CellFrac	TCPOBOP_count	TCPOBOP_Response_Summary	TCPOBOP_Ind_Responses	TCPOBOP_CellFrac	Background
SLC12A6	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SLC12A7	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SLC12A9	2	G21_TCPOBOP:L17	G21_TCPOBOP_Down_AC_0_FC_3:L17_M27_D	0	NotSexBiased	NA	NA	2	Induced_Both_Down_T27	F_D_T27,M_D_T27	0000001011	FALSE
SLC13A2	3	G21_TCPOBOP:L17:M19	G21_TCPOBOP_Up_AC_5_FC_5:L17_M27_U:M19_1_Weak_M	1	SexBiased_Male	M	NA	2	Induced_Both_Both_T27	B_U_T27,M_D_T27	2222222222	FALSE
SLC13A3	1	G21_SB	G21_SB_Female_AC_4	1	SexBiased_Female	F	02222	0	NotInduced	NA	NA	FALSE
SLC13A5	2	G21_TCPOBOP:L17	G21_TCPOBOP_Down_AC_3_FC_5:L17_M27_D	0	NotSexBiased	NA	NA	2	Induced_Both_Down_T27	B_D_T27,M_D_T27	0101111111	FALSE
SLC15A2	1	L17	L17_M3_U	0	NotSexBiased	NA	NA	1	Induced_Male_Up_T3	M_U_T3	NA	FALSE
SLC15A4	2	G21_TCPOBOP:L17	G21_TCPOBOP_Up_AC_0_FC_2:L17_F3_U	0	NotSexBiased	NA	NA	2	Induced_Female_Up_Both	F_U_T27,F_U_T3	0000000022	FALSE
SLC15A5	4	G21_SB:G21_TCPOBOP:G22:M19	G21_SB_Male_AC_1:G21_TCPOBOP_Up_AC_4_FC_0:G22_110000000:M19_0_Robust_M	3	SexBiased_Male	M	01000	1	Induced_Male_Up_T27	M_U_T27	2220200000	FALSE
SLC16A1	1	M19_SSI	M19_SSI	1	SSI	I	NA	0	NotInduced	NA	NA	TRUE
SLC16A11	3	G21_TCPOBOP:G22:L17	G21_TCPOBOP_Down_AC_2_FC_3:G22_200000000:L17_M27_D	1	SexBiased_Female	F	NA	2	Induced_Both_Down_T27	B_D_T27,M_D_T27	0101001011	FALSE
SLC16A12	2	G21_TCPOBOP:L17	G21_TCPOBOP_Up_AC_5_FC_3:L17_M27_U	0	NotSexBiased	NA	NA	2	Induced_Both_Both_T27	B_U_T27,M_D_T27	2222202022	FALSE
